stock,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10
000732.SZ,3,1,0,2,3,23,16,21,30,40,1,32,19,10,5,28,1,0,0,0,10
000733.SZ,0,0,0,0,0,6,7,20,46,50,20,37,20,19,10,5,1,2,1,0,2
000735.SZ,0,0,1,0,0,5,5,17,21,44,49,56,33,11,2,3,0,1,0,0,2
000736.SZ,13,0,3,5,7,10,18,17,20,22,10,27,23,23,8,10,4,3,3,2,29
000737.SZ,2,0,1,1,5,3,11,13,30,47,33,49,19,19,6,5,2,0,1,1,4
000738.SZ,1,0,0,0,2,3,11,15,33,51,31,44,19,20,7,6,4,0,0,0,1
000739.SZ,2,1,1,4,1,6,11,27,35,38,29,35,21,14,9,8,7,2,1,2,3
000750.SZ,0,0,0,0,2,0,4,9,15,81,25,57,12,10,4,2,1,0,0,0,0
000751.SZ,1,1,1,1,2,5,10,11,17,56,30,67,38,9,3,3,2,0,0,0,1
000752.SZ,0,0,0,0,0,18,13,12,31,36,17,38,17,15,10,25,0,0,0,0,0
000753.SZ,1,0,2,1,0,5,11,13,35,44,31,41,30,20,3,7,4,1,0,0,6
000755.SZ,5,2,1,2,3,9,9,18,25,41,18,37,26,10,10,4,2,1,0,1,17
000756.SZ,4,3,6,4,9,13,14,27,22,20,9,23,24,14,11,10,2,1,0,1,36
000757.SZ,2,0,0,4,3,1,10,10,25,47,25,48,24,16,8,6,0,1,0,0,3
000758.SZ,0,1,0,2,1,1,11,15,24,37,26,48,30,19,1,1,2,0,0,0,3
